Iteration	Training Loss	Validation Loss
0	4.2913	4.2910
250	1.9725	2.0791
500	1.5419	1.7465
750	1.3674	1.5853
1000	1.2702	1.5099
1250	1.2062	1.4881
1500	1.1526	1.4765
1750	1.1095	1.4701
2000	1.0649	1.4724
2250	1.0224	1.4725
2500	0.9779	1.4950
2750	0.9393	1.5110
3000	0.8933	1.5473
3250	0.8497	1.5487
3500	0.8074	1.5706
3750	0.7662	1.6153
4000	0.7221	1.6254
4250	0.6821	1.6782
4500	0.6445	1.7003
4750	0.6015	1.7444
5000	0.5667	1.7746
5250	0.5292	1.8051
5500	0.4986	1.8343
5750	0.4658	1.8714
6000	0.4326	1.9273
6250	0.4066	1.9447
6500	0.3820	1.9838
6750	0.3582	2.0184
7000	0.3360	2.0446
7250	0.3186	2.0736
7500	0.3004	2.1086
7750	0.2854	2.1268
8000	0.2691	2.1523
8250	0.2567	2.1774
8500	0.2462	2.2027
8750	0.2374	2.2233
9000	0.2282	2.2456
9250	0.2206	2.2571
9500	0.2152	2.2767
9750	0.2091	2.2984
10000	0.2046	2.2959
