Iteration	Training Loss-blk1	Training Loss-blk2	Training Loss-blk3	Training Loss-blk4	Validation Loss-blk1	Validation Loss-blk2	Validation Loss-blk3	Validation Loss-blk4
0	4.3910	4.2653	4.2644	4.2472	4.3862	4.2646	4.2655	4.2508
250	2.0269	2.0450	2.0699	2.1003	2.1255	2.1338	2.1478	2.1720
500	1.6289	1.6341	1.6454	1.6579	1.8070	1.8151	1.8198	1.8285
750	1.5301	1.5323	1.5390	1.5460	1.7204	1.7262	1.7269	1.7300
1000	1.4832	1.4774	1.4806	1.4850	1.6863	1.6808	1.6799	1.6829
1250	1.4516	1.4437	1.4481	1.4552	1.6739	1.6668	1.6665	1.6714
1500	1.4349	1.4272	1.4274	1.4299	1.6535	1.6482	1.6458	1.6466
1750	1.4154	1.4033	1.4045	1.4075	1.6324	1.6302	1.6338	1.6381
2000	1.4050	1.3894	1.3898	1.3928	1.6319	1.6224	1.6227	1.6265
2250	1.3950	1.3786	1.3791	1.3796	1.6460	1.6303	1.6284	1.6280
2500	1.3891	1.3682	1.3666	1.3662	1.6275	1.6146	1.6144	1.6133
2750	1.3793	1.3617	1.3595	1.3598	1.6160	1.6100	1.6058	1.6060
3000	1.3738	1.3493	1.3466	1.3477	1.6196	1.6068	1.6057	1.6074
3250	1.3656	1.3413	1.3387	1.3379	1.6163	1.6076	1.6064	1.6058
3500	1.3602	1.3304	1.3270	1.3267	1.6049	1.5946	1.5967	1.6004
3750	1.3575	1.3271	1.3229	1.3228	1.6069	1.5965	1.5937	1.5969
4000	1.3529	1.3255	1.3235	1.3224	1.6066	1.6000	1.6030	1.6040
4250	1.3500	1.3175	1.3120	1.3107	1.6190	1.5994	1.5951	1.5958
4500	1.3384	1.3061	1.3013	1.2997	1.6050	1.5868	1.5815	1.5802
4750	1.3337	1.2993	1.2943	1.2901	1.5951	1.5797	1.5779	1.5739
5000	1.3298	1.2940	1.2887	1.2860	1.5972	1.5799	1.5726	1.5711
5250	1.3262	1.2905	1.2829	1.2801	1.5987	1.5879	1.5848	1.5858
5500	1.3224	1.2849	1.2765	1.2734	1.5890	1.5791	1.5756	1.5755
5750	1.3190	1.2816	1.2743	1.2707	1.5929	1.5819	1.5777	1.5766
6000	1.3123	1.2734	1.2643	1.2598	1.5856	1.5718	1.5638	1.5613
6250	1.3113	1.2703	1.2627	1.2588	1.5885	1.5750	1.5729	1.5761
6500	1.3063	1.2648	1.2557	1.2512	1.5881	1.5774	1.5735	1.5734
6750	1.3035	1.2613	1.2528	1.2481	1.5808	1.5721	1.5705	1.5718
7000	1.2956	1.2515	1.2413	1.2356	1.5833	1.5735	1.5714	1.5739
7250	1.2944	1.2483	1.2372	1.2306	1.5920	1.5830	1.5771	1.5770
7500	1.2914	1.2444	1.2326	1.2262	1.5798	1.5718	1.5677	1.5687
7750	1.2877	1.2405	1.2287	1.2216	1.5868	1.5771	1.5730	1.5744
8000	1.2838	1.2356	1.2245	1.2175	1.5734	1.5657	1.5643	1.5653
8250	1.2805	1.2317	1.2190	1.2115	1.5744	1.5681	1.5675	1.5696
8500	1.2808	1.2323	1.2198	1.2121	1.5740	1.5657	1.5645	1.5658
8750	1.2775	1.2271	1.2147	1.2065	1.5779	1.5674	1.5670	1.5690
9000	1.2753	1.2231	1.2100	1.2018	1.5709	1.5596	1.5593	1.5617
9250	1.2729	1.2200	1.2066	1.1981	1.5714	1.5633	1.5611	1.5632
9500	1.2744	1.2213	1.2072	1.1985	1.5710	1.5625	1.5607	1.5643
9750	1.2700	1.2172	1.2023	1.1936	1.5702	1.5654	1.5631	1.5663
10000	1.2699	1.2166	1.2023	1.1933	1.5718	1.5645	1.5652	1.5680
