Iteration	Training Loss	Validation Loss
0	4.2336	4.2275
250	2.8803	2.8821
500	2.8481	2.8509
750	2.7451	2.7479
1000	2.6737	2.6999
1250	2.5923	2.6090
1500	2.5461	2.5690
1750	2.5147	2.5361
2000	2.5017	2.5226
2250	2.4968	2.5212
2500	2.4945	2.5198
2750	2.4902	2.5148
3000	2.4872	2.5088
3250	2.4839	2.5065
3500	2.4846	2.5068
3750	2.4813	2.5061
4000	2.4794	2.5043
4250	2.4807	2.5048
4500	2.4773	2.5008
4750	2.4782	2.5037
5000	2.4760	2.5005
5250	2.4746	2.5008
5500	2.4755	2.4982
5750	2.4750	2.5016
6000	2.4735	2.4996
6250	2.4730	2.5001
6500	2.4739	2.5000
6750	2.4735	2.4947
7000	2.4723	2.4990
7250	2.4734	2.4996
7500	2.4713	2.4982
7750	2.4713	2.4960
8000	2.4710	2.4989
8250	2.4700	2.4972
8500	2.4708	2.4974
8750	2.4702	2.4978
9000	2.4710	2.4983
9250	2.4703	2.4977
9500	2.4711	2.4984
9750	2.4707	2.4983
10000	2.4691	2.4982
